index,Year,State,Sport,Boys School,Girls School,Boys Participation,Girls Participation
249,2018/2019,AZ,Unified Flag Football,0.0,0.0,0.0,0.0
250,2018/2019,AZ,Unified Track and Field -- Outdoor,0.0,0.0,0.0,0.0
251,2018/2019,AZ,Volleyball,95.0,262.0,2359.0,8159.0
252,2018/2019,AZ,Water Polo,0.0,0.0,0.0,0.0
253,2018/2019,AZ,Weight Lifting,0.0,0.0,0.0,0.0
254,2018/2019,AZ,Wrestling,202.0,136.0,4894.0,481.0
255,2018/2019,AR,Adapted Basketball,14.0,10.0,135.0,59.0
256,2018/2019,AR,Adapted Bocce - Indoor,0.0,0.0,0.0,0.0
257,2018/2019,AR,Adapted Bowling,6.0,6.0,42.0,33.0
258,2018/2019,AR,Adapted Floor Hockey,0.0,0.0,0.0,0.0
259,2018/2019,AR,Adapted Soccer,2.0,4.0,13.0,54.0
260,2018/2019,AR,Adapted Softball,0.0,0.0,0.0,0.0
261,2018/2019,AR,Adapted Track,0.0,0.0,0.0,0.0
262,2018/2019,AR,Adapted Volleyball,0.0,0.0,0.0,0.0
263,2018/2019,AR,Adaptive Corn Toss,0.0,0.0,0.0,0.0
264,2018/2019,AR,Adaptive Golf,0.0,0.0,0.0,0.0
265,2018/2019,AR,Adaptive Handball,0.0,0.0,0.0,0.0
266,2018/2019,AR,Adaptive Strength Training,0.0,0.0,0.0,0.0
267,2018/2019,AR,Adaptive Tennis,0.0,0.0,0.0,0.0
268,2018/2019,AR,Air Riflery,4.0,3.0,16.0,14.0
269,2018/2019,AR,Archery,61.0,56.0,539.0,475.0
270,2018/2019,AR,Badminton,0.0,0.0,0.0,0.0
271,2018/2019,AR,Baseball,261.0,2.0,5489.0,10.0
272,2018/2019,AR,Basketball,286.0,274.0,5144.0,4000.0
273,2018/2019,AR,Bass Fishing,0.0,0.0,0.0,0.0
274,2018/2019,AR,Beach Volleyball,0.0,0.0,0.0,0.0
275,2018/2019,AR,Bocce - Outdoor,0.0,0.0,0.0,0.0
276,2018/2019,AR,Bowling,69.0,70.0,732.0,655.0
277,2018/2019,AR,Canoe Paddling,0.0,0.0,0.0,0.0
278,2018/2019,AR,Competitive Spirit* (Boys who cheer/Girls who cheer),35.0,106.0,77.0,1846.0
279,2018/2019,AR,Crew,0.0,0.0,0.0,0.0
280,2018/2019,AR,Cross Country,171.0,173.0,1862.0,1506.0
281,2018/2019,AR,Cycling,0.0,0.0,0.0,0.0
282,2018/2019,AR,Dance,7.0,42.0,14.0,741.0
283,2018/2019,AR,Dance/Drill,0.0,0.0,0.0,0.0
284,2018/2019,AR,"Dance Team, High Kick",0.0,0.0,0.0,0.0
285,2018/2019,AR,"Dance Team, Jazz",0.0,0.0,0.0,0.0
286,2018/2019,AR,Decathlon,33.0,4.0,85.0,17.0
287,2018/2019,AR,Drill Team,0.0,0.0,0.0,0.0
288,2018/2019,AR,Equestrian,0.0,0.0,0.0,0.0
